spines,branch_third,condition,compartment,peak_voltage
20,1,WT,soma,3.47789155086965
20,1,WT,soma,3.6500007990117567
20,1,WT,soma,4.288715166716926
20,1,WT,soma,4.1963332667334114
20,1,WT,soma,4.5534266576819675
20,1,WT,soma,3.914062347029315
20,1,WT,soma,4.046428819873945
20,1,WT,soma,3.5708774684577307
20,1,WT,soma,4.0843584972820395
20,1,WT,soma,4.524559970168589
20,1,WT,soma,4.695737298995482
20,1,WT,soma,4.341655446638988
20,1,WT,soma,4.134606214911464
20,1,WT,soma,3.599020902606618
20,1,WT,soma,3.769062619349988
20,1,WT,soma,3.5116078242761546
20,1,WT,soma,3.7130545374038917
20,1,WT,soma,4.000941273076172
20,1,WT,soma,4.099752210899922
20,1,WT,soma,4.043925115176812
20,1,WT,soma,3.4649401984120303
20,1,WT,soma,4.052435912509665
20,1,WT,soma,3.294091575646341
20,1,WT,soma,3.3084405553053386
20,1,WT,soma,4.540438168502725
20,1,WT,soma,4.179117650715462
20,1,WT,soma,4.286273838344059
20,1,WT,soma,4.233515182430686
20,1,WT,soma,4.046766861190662
20,1,WT,soma,4.193210736579466
20,1,WT,soma,4.225319353630859
20,1,WT,soma,4.466988169465772
20,1,WT,soma,3.5383098736257637
20,1,WT,soma,3.721560575867315
20,1,WT,soma,3.5516351544321054
20,1,WT,soma,4.077793559204721
20,1,WT,soma,3.628541739199477
20,1,WT,soma,4.062462185968478
20,1,WT,soma,3.4370898083914128
20,1,WT,soma,3.7387933028403495
20,1,WT,soma,3.994737206080444
20,1,WT,soma,4.581021790007263
20,1,WT,soma,3.685588051070617
20,1,WT,soma,4.728776887277341
20,1,WT,soma,3.784504243497061
20,1,WT,soma,4.803509870886089
20,1,WT,soma,3.5569133842955267
20,1,WT,soma,3.8322894516009143
20,1,WT,soma,3.823157105375067
20,1,WT,soma,4.157903174757706
20,1,WT,dend,63.51705752297825
20,1,WT,dend,65.27735490021757
20,1,WT,dend,64.57442480224049
20,1,WT,dend,63.69233272689743
20,1,WT,dend,64.65845018144103
20,1,WT,dend,64.24201264738853
20,1,WT,dend,65.57164090390404
20,1,WT,dend,65.84853789722148
20,1,WT,dend,65.05267560592607
20,1,WT,dend,66.21503471111042
20,1,WT,dend,65.69861379512783
20,1,WT,dend,65.71483139212894
20,1,WT,dend,66.19150442024244
20,1,WT,dend,64.102059387446
20,1,WT,dend,63.796739585409256
20,1,WT,dend,64.62089045079567
20,1,WT,dend,65.08519896792271
20,1,WT,dend,65.44547169224292
20,1,WT,dend,64.39591505742527
20,1,WT,dend,64.8300242600208
20,1,WT,dend,65.31399376447357
20,1,WT,dend,65.25327267384613
20,1,WT,dend,63.4710628707386
20,1,WT,dend,63.576483787873705
20,1,WT,dend,66.51309609187228
20,1,WT,dend,63.436353453858786
20,1,WT,dend,66.42984361514519
20,1,WT,dend,64.37512115561243
20,1,WT,dend,65.01861735500678
20,1,WT,dend,65.65613547740689
20,1,WT,dend,66.25653710137802
20,1,WT,dend,65.6389943166015
20,1,WT,dend,63.966976854763686
20,1,WT,dend,64.83226564123031
20,1,WT,dend,62.859955925004215
20,1,WT,dend,65.12510161418787
20,1,WT,dend,64.63324394936546
20,1,WT,dend,65.57059024336183
20,1,WT,dend,64.42008236920216
20,1,WT,dend,65.79202506028747
20,1,WT,dend,64.99286535304165
20,1,WT,dend,65.13089151760602
20,1,WT,dend,65.34722688705978
20,1,WT,dend,65.9032225454916
20,1,WT,dend,63.65441462535208
20,1,WT,dend,63.3887445981265
20,1,WT,dend,63.72412602294661
20,1,WT,dend,65.90390781304374
20,1,WT,dend,65.27001906707731
20,1,WT,dend,65.5983775766832
20,1,plaque,soma,4.0011521851042815
20,1,plaque,soma,3.819484793317663
20,1,plaque,soma,3.677548219917398
20,1,plaque,soma,3.5785464073106468
20,1,plaque,soma,4.453250737335139
20,1,plaque,soma,4.014971699372211
20,1,plaque,soma,4.073898289534114
20,1,plaque,soma,3.8158185230611323
20,1,plaque,soma,4.215995918033542
20,1,plaque,soma,3.840851390434217
20,1,plaque,soma,4.084464076161204
20,1,plaque,soma,3.640897809053996
20,1,plaque,soma,4.110855612251278
20,1,plaque,soma,4.592545481747713
20,1,plaque,soma,3.786382062563476
20,1,plaque,soma,4.16521309684213
20,1,plaque,soma,4.210229636676026
20,1,plaque,soma,3.6814031951454567
