spines,branch_third,condition,soma_peak
20,1,WT,3.47789155086965
20,1,WT,3.6500007990117567
20,1,WT,4.288715166716926
20,1,WT,4.1963332667334114
20,1,WT,4.5534266576819675
20,1,WT,3.914062347029315
20,1,WT,4.046428819873945
20,1,WT,3.5708774684577307
20,1,WT,4.0843584972820395
20,1,WT,4.524559970168589
20,1,WT,4.695737298995482
20,1,WT,4.341655446638988
20,1,WT,4.134606214911464
20,1,WT,3.599020902606618
20,1,WT,3.769062619349988
20,1,WT,3.5116078242761546
20,1,WT,3.7130545374038917
20,1,WT,4.000941273076172
20,1,WT,4.099752210899922
20,1,WT,4.043925115176812
20,1,WT,3.4649401984120303
20,1,WT,4.052435912509665
20,1,WT,3.294091575646341
20,1,WT,3.3084405553053386
20,1,WT,4.540438168502725
20,1,WT,4.179117650715462
20,1,WT,4.286273838344059
20,1,WT,4.233515182430686
20,1,WT,4.046766861190662
20,1,WT,4.193210736579466
20,1,WT,4.225319353630859
20,1,WT,4.466988169465772
20,1,WT,3.5383098736257637
20,1,WT,3.721560575867315
20,1,WT,3.5516351544321054
20,1,WT,4.077793559204721
20,1,WT,3.628541739199477
20,1,WT,4.062462185968478
20,1,WT,3.4370898083914128
20,1,WT,3.7387933028403495
20,1,WT,3.994737206080444
20,1,WT,4.581021790007263
20,1,WT,3.685588051070617
20,1,WT,4.728776887277341
20,1,WT,3.784504243497061
20,1,WT,4.803509870886089
20,1,WT,3.5569133842955267
20,1,WT,3.8322894516009143
20,1,WT,3.823157105375067
20,1,WT,4.157903174757706
20,1,plaque,4.0011521851042815
20,1,plaque,3.819484793317663
20,1,plaque,3.677548219917398
20,1,plaque,3.5785464073106468
20,1,plaque,4.453250737335139
20,1,plaque,4.014971699372211
20,1,plaque,4.073898289534114
20,1,plaque,3.8158185230611323
20,1,plaque,4.215995918033542
20,1,plaque,3.840851390434217
20,1,plaque,4.084464076161204
20,1,plaque,3.640897809053996
20,1,plaque,4.110855612251278
20,1,plaque,4.592545481747713
20,1,plaque,3.786382062563476
20,1,plaque,4.16521309684213
20,1,plaque,4.210229636676026
20,1,plaque,3.6814031951454567
20,1,plaque,3.771169147745809
20,1,plaque,3.201427733562909
20,1,plaque,3.4779588014176213
20,1,plaque,3.6926872508579933
20,1,plaque,4.091863523796718
20,1,plaque,3.543726650512056
20,1,plaque,4.301588727310744
20,1,plaque,4.734481209117476
20,1,plaque,3.9282675534288884
20,1,plaque,4.146635889918798
20,1,plaque,4.487020045568002
