spines,branch_third,condition,compartment,peak_voltage
20,1,WT,soma,3.782944870501872
20,1,WT,soma,3.888890018305908
20,1,WT,soma,3.6897177416778746
20,1,WT,soma,3.495512918225309
20,1,WT,soma,3.6799695729567716
20,1,WT,soma,3.7559219325811597
20,1,WT,soma,3.739555171835903
20,1,WT,soma,3.4383460535921557
20,1,WT,soma,3.9165504861734135
20,1,WT,soma,3.331525993792127
20,1,WT,soma,3.8562733192664993
20,1,WT,soma,3.6302402177738458
20,1,WT,soma,3.351413404103951
20,1,WT,soma,3.288811056792717
20,1,WT,soma,4.132622351915337
20,1,WT,soma,3.5207393189497225
20,1,WT,soma,4.104077624535947
20,1,WT,soma,3.2892069744477155
20,1,WT,soma,3.41621655074033
20,1,WT,soma,4.55420177599801
20,1,WT,soma,4.159748387205752
20,1,WT,soma,3.6763113719288683
20,1,WT,soma,4.190599531266663
20,1,WT,soma,3.8443344488221385
20,1,WT,soma,3.897530202044436
20,1,WT,soma,4.132650853207295
20,1,WT,soma,3.772868717805082
20,1,WT,soma,3.1748349482339293
20,1,WT,soma,3.521439137031919
20,1,WT,soma,3.8604285554334865
20,1,WT,soma,3.5132416458749844
20,1,WT,soma,4.050616593673823
20,1,WT,soma,3.822971750202875
20,1,WT,soma,3.6816955890300065
20,1,WT,soma,4.21437547172016
20,1,WT,soma,3.9612063521956884
20,1,WT,soma,3.539783086441801
20,1,WT,soma,3.789416970545318
20,1,WT,soma,4.095019293605773
20,1,WT,soma,3.7778776061019457
20,1,WT,soma,4.510476818658155
20,1,WT,soma,4.589405316473645
20,1,WT,soma,4.499065593067932
20,1,WT,soma,4.07422749304483
20,1,WT,soma,4.72056393943226
20,1,WT,soma,3.921033774484961
20,1,WT,soma,3.7146586613613053
20,1,WT,soma,3.667978306866317
20,1,WT,soma,4.366842356351945
20,1,WT,soma,4.029816641004274
20,1,WT,soma,3.8708409656517873
20,1,WT,soma,4.107182712757151
20,1,WT,soma,3.5170413025562723
20,1,WT,soma,3.215355046923129
20,1,WT,soma,4.084250288348258
20,1,WT,soma,3.4158983460690706
20,1,WT,soma,3.948132031095426
20,1,WT,soma,4.523652628392796
20,1,WT,soma,4.276575808988085
20,1,WT,soma,3.769572062868967
20,1,WT,soma,3.9235550635853755
20,1,WT,soma,3.723491059771156
20,1,WT,soma,3.4885135574109043
20,1,WT,soma,3.776230351507209
20,1,WT,soma,3.742053608469547
20,1,WT,soma,3.3373393202442543
20,1,WT,soma,3.7856544602599342
20,1,WT,soma,3.8103382135562995
20,1,WT,soma,3.3949960119385807
20,1,WT,soma,3.8924405033790137
20,1,WT,soma,3.89345412848197
20,1,WT,soma,4.1437016985266055
20,1,WT,soma,3.4373111091358552
20,1,WT,soma,3.920446100853198
20,1,WT,soma,3.6757408838077836
20,1,WT,soma,4.2917961969653575
20,1,WT,soma,3.3754176019250366
20,1,WT,soma,3.122267850722949
20,1,WT,soma,4.070026372256969
20,1,WT,soma,3.9469523149804786
20,1,WT,soma,3.601575235973506
20,1,WT,soma,4.283643013989796
20,1,WT,soma,3.412911913059382
20,1,WT,soma,3.178600232650915
20,1,WT,soma,4.058024260507054
20,1,WT,soma,3.2320124816071925
20,1,WT,soma,3.8454356327171553
20,1,WT,soma,4.217888971922584
20,1,WT,soma,3.7548996059657043
20,1,WT,soma,4.037967455160633
20,1,WT,soma,3.7883050715891073
20,1,WT,soma,3.660555454700237
20,1,WT,soma,4.226230404747902
20,1,WT,soma,4.027884972513121
20,1,WT,soma,4.490354208210945
20,1,WT,soma,3.547447720163504
20,1,WT,soma,3.7101412710680606
20,1,WT,soma,4.098834018007764
20,1,WT,soma,3.990841639079761
20,1,WT,soma,3.2097393957350064
20,1,WT,dend,65.68214311143828
20,1,WT,dend,63.52246005676046
20,1,WT,dend,64.43553698994286
20,1,WT,dend,62.939818117334546
20,1,WT,dend,65.31681032077293
20,1,WT,dend,64.78683078634235
20,1,WT,dend,64.84913844981537
20,1,WT,dend,63.95639022680961
20,1,WT,dend,64.70748162400065
20,1,WT,dend,62.39423273884442
20,1,WT,dend,64.84293862181319
20,1,WT,dend,63.82261374816563
20,1,WT,dend,62.88707430330828
20,1,WT,dend,64.42665019923425
20,1,WT,dend,63.93302865305983
20,1,WT,dend,63.849493298096334
20,1,WT,dend,65.55049951455199
20,1,WT,dend,63.537889922233155
20,1,WT,dend,64.18883414257424
20,1,WT,dend,64.56948973073932
20,1,WT,dend,63.89567220031957
20,1,WT,dend,62.839891129865286
20,1,WT,dend,63.28407072705165
20,1,WT,dend,62.71938299195754
20,1,WT,dend,66.39737014472468
20,1,WT,dend,65.04331635581332
20,1,WT,dend,65.66813854394584
20,1,WT,dend,60.23244151022435
20,1,WT,dend,62.961926311219415
20,1,WT,dend,63.02712032798682
20,1,WT,dend,62.362762128805144
20,1,WT,dend,65.79484663372604
20,1,WT,dend,65.30890025138001
20,1,WT,dend,65.41474428562687
20,1,WT,dend,66.18942243328159
20,1,WT,dend,65.22359292916282
20,1,WT,dend,60.67104985236276
20,1,WT,dend,65.46946267447224
20,1,WT,dend,64.82129404225624
20,1,WT,dend,65.77107546157602
20,1,WT,dend,66.344973402608
20,1,WT,dend,65.13090880640479
20,1,WT,dend,63.67139601636187
20,1,WT,dend,66.57976640654017
20,1,WT,dend,65.16997689350481
20,1,WT,dend,64.58678436593598
20,1,WT,dend,64.9677561095468
20,1,WT,dend,64.90852024421781
20,1,WT,dend,66.36368136835831
20,1,WT,dend,64.62872354623717
20,1,WT,dend,66.17080601387806
20,1,WT,dend,65.92264667934984
20,1,WT,dend,63.87803837221449
20,1,WT,dend,60.96453442341803
20,1,WT,dend,65.88908482588715
20,1,WT,dend,64.56995071305708
20,1,WT,dend,64.52537145999135
20,1,WT,dend,65.70698655899564
20,1,WT,dend,64.41911325246173
20,1,WT,dend,61.29854364333559
20,1,WT,dend,64.52986714019897
20,1,WT,dend,64.95831057240116
20,1,WT,dend,64.92370406842636
20,1,WT,dend,62.992816874652135
20,1,WT,dend,65.05399842256134
20,1,WT,dend,64.59492126343956
20,1,WT,dend,65.70676378674705
20,1,WT,dend,64.77103640642555
20,1,WT,dend,64.92899922447026
20,1,WT,dend,63.67807337102052
20,1,WT,dend,63.396885384758185
20,1,WT,dend,62.29000077168296
20,1,WT,dend,60.57653291446942
20,1,WT,dend,64.28652945930774
20,1,WT,dend,64.69908225711103
20,1,WT,dend,64.536316634472
20,1,WT,dend,62.35850556200551
20,1,WT,dend,61.776396383892845
20,1,WT,dend,62.83231906995665
20,1,WT,dend,65.18125479133033
20,1,WT,dend,65.16048207662273
20,1,WT,dend,66.48503489859321
20,1,WT,dend,63.44617102726777
20,1,WT,dend,62.422999972637555
20,1,WT,dend,63.97072115112405
20,1,WT,dend,63.92022128928156
20,1,WT,dend,64.474398800441
20,1,WT,dend,65.00534460834682
20,1,WT,dend,61.05469514441665
20,1,WT,dend,66.05961651517062
20,1,WT,dend,65.51531574614349
20,1,WT,dend,64.34451720370926
20,1,WT,dend,66.29213470339123
20,1,WT,dend,65.43335802564039
20,1,WT,dend,65.72328822469746
20,1,WT,dend,65.11293415719345
20,1,WT,dend,65.75273983380134
20,1,WT,dend,66.05006621929022
20,1,WT,dend,64.26846820476861
20,1,WT,dend,63.32272093776278
20,1,plaque,soma,3.9247806725192405
20,1,plaque,soma,4.242843240244824
20,1,plaque,soma,4.5420050090182045
20,1,plaque,soma,3.975115562189778
20,1,plaque,soma,4.4510097933049835
20,1,plaque,soma,4.6219782316697575
20,1,plaque,soma,3.707976252969054
20,1,plaque,soma,4.130127365311644
20,1,plaque,soma,4.075421689915757
20,1,plaque,soma,3.870081354484441
20,1,plaque,soma,3.840779749221639
20,1,plaque,soma,3.7267272957385345
20,1,plaque,soma,3.4858185377363
20,1,plaque,soma,3.956555948678897
20,1,plaque,soma,3.708543061466166
20,1,plaque,soma,4.0238228322784835
20,1,plaque,soma,3.4322093564241243
20,1,plaque,soma,4.173859375775194
20,1,plaque,soma,3.4864648776759424
20,1,plaque,soma,3.901805463238297
20,1,plaque,soma,3.32276186784474
20,1,plaque,soma,4.106667164859232
20,1,plaque,soma,4.049814752896282
20,1,plaque,soma,3.2379753331249006
20,1,plaque,soma,3.7973069110357756
20,1,plaque,soma,4.5075719852735645
20,1,plaque,soma,3.923274813610483
20,1,plaque,soma,3.74723031015165
20,1,plaque,soma,3.573847326904854
20,1,plaque,soma,4.768285214769662
20,1,plaque,soma,3.933601617717926
20,1,plaque,soma,4.844912599843838
20,1,plaque,soma,4.3950369425255715
20,1,plaque,soma,3.254899834156319
20,1,plaque,soma,3.6076125776257584
20,1,plaque,soma,3.468445034830225
20,1,plaque,soma,3.3955418293948014
20,1,plaque,soma,3.571272561146799
20,1,plaque,soma,3.7907434736939507
20,1,plaque,soma,3.938433710799792
20,1,plaque,soma,3.728850972309516
20,1,plaque,soma,3.322342005581419
20,1,plaque,soma,4.78656785454681
20,1,plaque,soma,3.107828846920988
20,1,plaque,soma,3.5613352889809065
20,1,plaque,soma,4.258397347686625
20,1,plaque,soma,4.445443446696437
20,1,plaque,soma,4.101736934272907
20,1,plaque,soma,4.479104319676686
20,1,plaque,soma,4.0545610839403565
20,1,plaque,soma,3.392118501871259
20,1,plaque,soma,3.7773970755619004
20,1,plaque,soma,3.270179987844301
20,1,plaque,soma,4.243988845895501
20,1,plaque,soma,3.141409124525687
20,1,plaque,soma,3.4994238545181204
20,1,plaque,soma,3.990592574274892
20,1,plaque,soma,3.720075628688001
20,1,plaque,soma,4.080536283742383
20,1,plaque,soma,3.77503997360742
20,1,plaque,soma,3.6498084603621166
20,1,plaque,soma,3.8235059163308662
20,1,plaque,soma,3.461106897296638
20,1,plaque,soma,4.22564037333747
20,1,plaque,soma,3.957883085026843
20,1,plaque,soma,4.013024773707166
20,1,plaque,soma,3.6777718656003913
20,1,plaque,soma,3.591592704727077
20,1,plaque,soma,3.4282619243929204
20,1,plaque,soma,3.350002316831528
20,1,plaque,soma,4.616973035838193
20,1,plaque,soma,3.9119270624379254
20,1,plaque,soma,3.744637398820153
20,1,plaque,soma,3.574530470092327
20,1,plaque,soma,3.7488797951978654
20,1,plaque,soma,4.348261978236145
20,1,plaque,soma,4.496945959153436
20,1,plaque,soma,3.7549758444511383
20,1,plaque,soma,4.192344516220842
20,1,plaque,soma,4.420421788039398
20,1,plaque,soma,3.3916884623369157
20,1,plaque,soma,3.5485691638783763
20,1,plaque,soma,3.1821177277885653
20,1,plaque,soma,3.673617678457042
20,1,plaque,soma,4.055426852248992
20,1,plaque,soma,4.626642339439485
20,1,plaque,soma,3.6485543272522634
20,1,plaque,soma,4.009691283482098
20,1,plaque,soma,3.181568657371784
20,1,plaque,soma,3.8526677307861092
20,1,plaque,soma,3.834256046794245
20,1,plaque,soma,3.260731830556665
20,1,plaque,soma,4.7691133451857795
20,1,plaque,soma,3.574013573874133
20,1,plaque,soma,3.783341469414566
20,1,plaque,soma,4.061696076346763
20,1,plaque,soma,4.965191051262721
20,1,plaque,soma,3.3855332601471417
20,1,plaque,soma,4.080333374084702
20,1,plaque,soma,4.142994135999665
20,1,plaque,dend,65.79906846711187
20,1,plaque,dend,64.69406047526702
20,1,plaque,dend,65.79612471774504
20,1,plaque,dend,65.01464379491937
20,1,plaque,dend,66.20595654753674
20,1,plaque,dend,65.73660325139006
20,1,plaque,dend,65.32482040202629
20,1,plaque,dend,64.02915478135468
20,1,plaque,dend,65.363017698803
20,1,plaque,dend,66.00865204472422
20,1,plaque,dend,62.806482217945565
20,1,plaque,dend,64.73424798307623
20,1,plaque,dend,63.45227493368523
20,1,plaque,dend,65.97034276626941
20,1,plaque,dend,64.23131761050347
20,1,plaque,dend,65.68477887955237
20,1,plaque,dend,64.10227039927598
20,1,plaque,dend,66.06615443498076
20,1,plaque,dend,64.89081324261213
20,1,plaque,dend,63.573637820704725
20,1,plaque,dend,65.20529561072829
20,1,plaque,dend,65.9853010058664
20,1,plaque,dend,65.19031628851687
20,1,plaque,dend,64.37439796275108
20,1,plaque,dend,65.51212390179157
20,1,plaque,dend,64.59161495439427
20,1,plaque,dend,65.24780175160248
20,1,plaque,dend,65.59844573757192
20,1,plaque,dend,63.366979085113066
20,1,plaque,dend,65.38970318588088
20,1,plaque,dend,64.83299064568743
20,1,plaque,dend,66.10314555846662
20,1,plaque,dend,66.06436204850917
20,1,plaque,dend,60.39937522766831
20,1,plaque,dend,65.57776651701026
20,1,plaque,dend,63.333217505577544
20,1,plaque,dend,64.93364767358719
20,1,plaque,dend,64.45382403111572
20,1,plaque,dend,64.18843590359131
20,1,plaque,dend,64.24367590882572
20,1,plaque,dend,64.83803868946896
20,1,plaque,dend,63.57737394294967
20,1,plaque,dend,65.30260779744006
20,1,plaque,dend,61.21695909621472
20,1,plaque,dend,63.14269206940712
20,1,plaque,dend,65.90564618482324
20,1,plaque,dend,65.4116161566348
20,1,plaque,dend,66.09353042104848
20,1,plaque,dend,66.34579590626817
20,1,plaque,dend,65.87571463543026
20,1,plaque,dend,63.553754766306355
20,1,plaque,dend,59.6457876571342
20,1,plaque,dend,63.02298044279932
20,1,plaque,dend,66.6533771090802
20,1,plaque,dend,62.10623056975722
20,1,plaque,dend,64.06410685916697
20,1,plaque,dend,65.83955050153611
20,1,plaque,dend,65.81935552286565
20,1,plaque,dend,65.2870426149285
20,1,plaque,dend,63.48041035426201
20,1,plaque,dend,64.8193541072362
20,1,plaque,dend,66.04705571600898
20,1,plaque,dend,63.16965933344723
20,1,plaque,dend,66.17975476908143
20,1,plaque,dend,65.16976792314853
20,1,plaque,dend,65.81508531298526
20,1,plaque,dend,63.844679021318996
20,1,plaque,dend,63.80513405579309
20,1,plaque,dend,57.7395035691553
20,1,plaque,dend,62.847868774734664
20,1,plaque,dend,65.62836177383691
20,1,plaque,dend,66.15666770574825
20,1,plaque,dend,64.97019699881169
20,1,plaque,dend,63.27154842132587
20,1,plaque,dend,65.02245283269443
20,1,plaque,dend,65.83467876962959
20,1,plaque,dend,65.9106912319308
20,1,plaque,dend,65.38372205135441
20,1,plaque,dend,59.915297713964065
20,1,plaque,dend,66.60790428648336
20,1,plaque,dend,63.97656638695432
20,1,plaque,dend,62.913104750082994
20,1,plaque,dend,62.53717718213477
20,1,plaque,dend,64.23907159871271
20,1,plaque,dend,65.21201282318097
20,1,plaque,dend,65.37186651512197
20,1,plaque,dend,63.35093830062444
20,1,plaque,dend,65.75326053214006
20,1,plaque,dend,63.31919300420796
20,1,plaque,dend,66.36708769659482
20,1,plaque,dend,62.52843284299825
20,1,plaque,dend,63.049761397735246
20,1,plaque,dend,65.67801015117327
20,1,plaque,dend,65.36549482257982
20,1,plaque,dend,63.255638729731075
20,1,plaque,dend,65.85895613959669
20,1,plaque,dend,66.64993911264455
20,1,plaque,dend,63.6572332283295
20,1,plaque,dend,65.75673162986668
20,1,plaque,dend,63.43366804382546
20,1,SAAeq,soma,4.5089394219955565
20,1,SAAeq,soma,4.681946688923098
20,1,SAAeq,soma,3.947094814638554
